Año Cuenta Pública,Grupo Funcional,Sector,Ente Fiscalizado,Entidad Federativa,Tipo Auditoría,Número,Título,Universo (miles pesos),Muestra (miles pesos),Ente a quien se dirige la Acción,Tipo Acción,Clave Acción,Acción Superveniente,Texto Acción,Estado de Trámite,Auditorías,Acciones
2017,Gasto Federalizado,Bienestar,Consejo Nacional de Evaluación de la Política de Desarrollo Social,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,273,Sistema de Evaluación del Desempeño del Gasto Federalizado,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Bienestar,Secretaría de Bienestar,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,264,Participación Social en el Fondo de Aportaciones para la Infraestructura Social Municipal y de las Demarcaciones Territoriales del Distrito Federal,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,"Desarrollo Agrario, Territorial y Urbano","Secretaría de Desarrollo Agrario, Territorial y Urbano",Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,413,Contraloría Social en el Programa de Infraestructura,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Comisión Nacional de Cultura Física y Deporte,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,170,Contraloría Social en el Programa de Cultura Física y Deporte,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Instituto Nacional de la Infraestructura Física Educativa,Ciudad de México,Cumplimiento Financiero,175,Recursos del Programa Escuelas al CIEN,-,-,Instituto Nacional de la Infraestructura Física Educativa,Recomendación,,,,,1,3
2017,Gasto Federalizado,Educación Pública,Instituto Nacional para la Educación de los Adultos,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,173,Contraloría Social en el Programa Educación para Adultos,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,138,Apoyos a Centros y Organizaciones de Educación,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,152,Programa de Escuelas de Tiempo Completo,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,158,Recursos del Fondo de Aportaciones Múltiples,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,159,Recursos del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,-,-,Secretaría de Educación Pública,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,6
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,159,Recursos del Fondo de Aportaciones para la Educación Tecnológica y de Adultos,-,-,Secretaría de Educación Pública,Recomendación,,,,,1,1
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,160,Recursos del Fondo de Aportaciones para la Nómina Educativa y Gasto Operativo,"323,069,280.10","297,135,110.70",Secretaría de Educación Pública,Recomendación,,,,,1,1
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero,165,Subsidios Federales para Organismos Descentralizados Estatales,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Educación Pública,Secretaría de Educación Pública,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,151,Participación Social en Educación,-,-,-,-,,,,,1,0
